"АДМИНИСТРАЦИЯ МО ""БЫРАКАНСКИЙ НАСЛЕГ""";1407006128
"Администрация МО ""Оргетский наслег""";1407006135
" АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""НАМСКИЙ НАСЛЕГ""";1407006142
"наслежная администрация МО ""Тобуинский наслег""";1407006150
МБУ ВВДНТ им. П.Н.Тобурокова;1407006248
МБУ Едюгейский КДЦ;1407006382
"УЛУСНЫЙ (РАЙОННЫЙ) СОВЕТ МР ""ВЕРХНЕВИЛЮЙСКИЙ УЛУС (РАЙОН)"" РС(Я)";1407006417
"КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА МР ""ВЕРХНЕВИЛЮЙСКИЙ УЛУС (РАЙОН)"" РС(Я)";1407006424
"МБУ ""Намское КДУ""";1407006618
ГКУ РС (Я) «ВВСРЦН»;1407006745
"МБУ ""Онхойский центр досуга""";1407006760
МКУ КУМИ;1407006840
МБУ Быраканский ЦТК;1407006946
ТУОБУЙИНСКИЙ КСК САЙДАМ МБУ;1407007065
"МБУ ""Сургулукское КДУ""";1407007097
"МБУ ""Дюллюкюнское КДУ""";1407007107
"МБУ ""Ботулинское КДУ""";1407007114
"МБУ ""Магасский ЦКИД""";1407007121
"МБУ ""Хомустахское КДУ""";1407007146
"МБУ ""Кырыкыйское КДУ""";1407007153
"МБУ ""Балаганнахский ЦК""";1407007160
МБУ Мэйикское КДУ;1407007202
ВЕРХНЕВИЛЮЙСК ВЕРХНЕВИЛЮЙСКОГО УЛУСА СХПОРПК;1407007315
"МБУ ""Харбалахское КДУ""";1407007347
"МБУ ""Оросунское КДУ""";1407007379
МБУ Оргетский КСК;1407007386
"МБУ ""Тамалаканское КДУ""";1407007393
"МБУ ""Кэнтикский КДЦ""";1407007442
"МБУ ""Хоринское КДУ"" им А.Д.Филиппова";1407007467
"МБУ ""Далырское КДУ""";1407007530
"МУП ""Благоустройство""";1407007594
МБ ПНТ МБУ;1407007629
"Управление финансов администрации МР ""Верхневилюйский улус(район)""";1407007876
УПРАВЛЕНИЕ ФКИС МБУ;1407007890
"МАУ ""Центр народного творчества"" МР Верхневилюйский улус (район)";1407008037
"МКУ ""Департамент культуры и духовного развития"" МР Верхневилюйский улус (район)";1407008044
МБУ ДО «Школа бокса»;1407008245
"ООО "" ТУТУУ САХА""";1407008291
"МАУ ""Марс Вервил""";1407008301
ВВК-ГРУПП ООО;1407008460
МБУ ДО Детский технопарк;1407008492
ГАРМОНИЯ ВЕРХНЕВИЛЮЙСКОГО УЛУСА МОО;1407008559
АНО Центр Развития Спортинга Верхневилюйского Улуса;1407008630
"АССОЦИАЦИЯ ""ЧАП УУСТАРА"" (КУЗНЕЦЫ РОДА ЧАП)";1407008654
ЧАП УУСТАРА (КУЗНЕЦЫ РОДА ЧАП);1407008654
Ефремов Родион Родионович ИП;140701425176
ИП Семенов А.Н.;140702518440
ФОНД СОДЕЙСТВИЯ СЭР МР НКО;1407990032
ООО ДарханСтройЛогистик;1409001439
МБУ НКЦ АЛГЫС имени Н.И.ЫЛАХОВОЙ;1410160190
"АО ""РИК АВТОДОР""";1419005577
"ГКУ РС (Я) ""Центр занятости населения"" РС (Я)";1435068800
САХАНЕФТЕГАЗСБЫТ АО;1435115270
ВВ ГУП ЖКХ;1435133520
"Филиал ""Коммунтеплосбыт"" ГУП ""ЖКХ РС(Я)""";1435133520
АЛМАЗЭРГИЭНБАНК АО АКБ;1435138944
АМК-СТРОЙМОНТАЖ;1435155354
"ООО ""Альянс""";1435162023
"ГАУ ""Якутлесресурс"" РС(Я)";1435197869
"ГАУ РС(Я) ""Сахапечать""";1435212010
"Акционерное Общество ""Водоканал""";1435219600
"ООО ""Дизайн-студия Уран""";1435291075
СТРОЙИНЖИНИРИНГ ООО;1435334240
"ООО ""ЮГВАСТРОЙ""";3811439901
ГСК ЮГОРИЯ АО;8601023568
